zip,city,province,district,lon,lat
50212,Ranorawa,North Central Province,Anuradhapura,7.9267,80.1213
50214,Dunumadalawa,North Central Province,Anuradhapura,7.9169,80.0505
50220,Pahala Maragahawe,North Central Province,Anuradhapura,8.1929,80.1457
50222,Horiwila,North Central Province,Anuradhapura,8.1929,80.1457
50224,Gemunupura,North Central Province,Anuradhapura,8.1929,80.1457
50226,Kalaoya,North Central Province,Anuradhapura,8.1929,80.1457
50230,Talawa,North Central Province,Anuradhapura,8.2364,80.3476
50232,Karagahawewa,North Central Province,Anuradhapura,8.2453,80.3307
50236,Malwanagama,North Central Province,Anuradhapura,8.2409,80.3391
50240,Tambuttegama,North Central Province,Anuradhapura,8.15,80.3
50242,Telhiriyawa,North Central Province,Anuradhapura,8.1535,80.3244
50244,Pahalagama,North Central Province,Anuradhapura,8.1988,80.2808
50246,Rajanganaya,North Central Province,Anuradhapura,8.062,80.251
50248,Angamuwa,North Central Province,Anuradhapura,8.1812,80.2013
50259,Kiralogama,North Central Province,Anuradhapura,8.1971,80.3798
50260,Eppawala,North Central Province,Anuradhapura,8.1426,80.403
50261,Katiyawa,North Central Province,Anuradhapura,7.6208,80.5515
50262,lhala Halmillewa,North Central Province,Anuradhapura,7.8817,80.4772
50270,Mahailluppallama,North Central Province,Anuradhapura,8.1056,80.3107
50280,lpologama,North Central Province,Anuradhapura,8.0875,80.5154
50282,Kagama,North Central Province,Anuradhapura,8.0839,80.5586
50284,Senapura,North Central Province,Anuradhapura,8.0911,80.4722
50288,Kalakarambewa,North Central Province,Anuradhapura,8.0875,80.5154
50300,Mihintale,North Central Province,Anuradhapura,8.3593,80.5103
50304,lhalagama,North Central Province,Anuradhapura,8.3593,80.5103
50306,Mahakanadarawa,North Central Province,Anuradhapura,8.3593,80.5103
50308,Maradankalla,North Central Province,Anuradhapura,8.3593,80.5103
50320,Kahatagasdigiliya,North Central Province,Anuradhapura,8.4214,80.6865
50324,Mulkiriyawa,North Central Province,Anuradhapura,8.4214,80.6865
50326,Parakumpura,North Central Province,Anuradhapura,8.4214,80.6865
50327,Mahapothana,North Central Province,Anuradhapura,8.4214,80.6865
50334,Megodawewa,North Central Province,Anuradhapura,8.2333,80.7333
50338,Padikaramaduwa,North Central Province,Anuradhapura,8.2333,80.7333
50339,Namalpura,North Central Province,Anuradhapura,8.2333,80.7333
50344,Muriyakadawala,North Central Province,Anuradhapura,8.2333,80.65
50349,Morakewa,North Central Province,Anuradhapura,8.5052,80.7887
50350,Horawpatana,North Central Province,Anuradhapura,8.3889,80.766
50354,Parangiyawadiya,North Central Province,Anuradhapura,8.4945,80.8654
50356,Dematawewa,North Central Province,Anuradhapura,8.2833,80.6667
50358,Welimuwapotana,North Central Province,Anuradhapura,8.3889,80.766
50370,Kapugallawa,North Central Province,Anuradhapura,8.3558,80.6894
50380,Seeppukulama,North Central Province,Anuradhapura,8.3804,80.5888
50382,Upuldeniya,North Central Province,Anuradhapura,8.3916,80.6079
